Film_Adi_TR,Film_Adi_Yabanci,Film_Turu,Yonetmen,Vizyon_Tarihi,Seyirci_Sayisi,Toplam Has?lat,Yapimci,Oyuncular,IMDb,Gosterim_Hafta,Yapimci_Ulke
Kurtulu? Hatt?,,"Dram, Tarihi, Sava?",Selman Kayaba??,05/13/2022,52442,994139,Yak?n Plan,"Hamdi Erdo?an, Gülsim Ali, Yusuf Aytekin",6.1,6,Türkiye
?lk Seans: NMSM,,"Korku, Gerilim",Gökhan Murat Toktam??o?lu,03/11/2022,52098,1486319,Hann Yap?m,Eylül Ezgi Y?lmaz,2.1,2,Türkiye
Karlar Kral? Norm 2,,Animasyon,"Richard Finn, Tim Maltby",01/14/2022,51953,1212357,"Andrew Tight, Ken Katsumoto, Liz Young","Fatih Özacun, U?ur Ta?demir, Ali Çorapç?",3.4,19,"ABD, Çin, Güney Kore, Hindistan"
Kuzeyli,The Northman,"Macera, Dram, Aksiyon",Robert Eggers,04/22/2022,51920,2055860,"Alexander Skarsgård, Robert Eggers, Lars Knudsen","Alexander Skarsgård, Anya Taylor-Joy, Claes Bang",7.1,7,ABD
Hazine,,"Macera, Komedi, Aksiyon",Canbert Yerguz,11/04/2022,49826,2748878,BKM,"Ça?lar Çorumlu, Boran Kuzum, ?ükran Oval?",6.2,4,Türkiye
"Tim, Tim, Timsah","Lyle, Lyle, Crocodile","Macera, Animasyon","Josh Gordon, Will Speck",11/18/2022,48436,2896663,"Will Speck, Josh Gordon, Hutch Parker","Javier Bardem, Constance Wu, Winslow Fegley",6.1,8,ABD
Dü?ler Fabrikas?,"Drømmebyggerne, Dreambuilders","Macera, Komedi, Animasyon","Kim Hagen Jensen, Tonni Zinck",04/08/2022,47231,1464221,"Nynne Selin, Sunit Parekh","Emilie Koppel, Alberte Winding, Rasmus Botoft",6,12,Danimarka
Amsterdam,,"Dram, Tarihi",David O. Russell,10/07/2022,46503,3067218," Christian Bale, David O. Russell, Matthew Budman","Christian Bale, Margot Robbie, John David Washington",6.1,5,ABD
Niloya,,Animasyon,Ark?n Aktaç,11/11/2022,46208,2315673,Anibera,"Berrak Nehir KÖK, Berk Pamir, Zeynep Önen",3.2,7,Türkiye
Tam Kafadan Karavana,,Komedi,"O?uz Öztürk, Celal Öztürk",04/29/2022,44267,1395983,"Bros Film, Lokum Games","Ali Biçim, Mesut Can Tomay, Efekan Can",4.8,5,Türkiye
Nil'de Ölüm,Death on the Nile,"Gerilim, Dram, Suç",Kenneth Branagh,02/11/2022,43585,1487199,"Kenneth Branagh, Ridley Scott, Judy Hofflund","Kenneth Branagh, Gal Gadot, Emma Mackey",6.3,5,ABD
Dert Etme Sevgilim,Don't Worry Darling,"Korku, Gerilim",Olivia Wilde,09/23/2022,43269,2559041,"Olivia Wilde, Katie Silberman, Roy Lee","Florence Pugh, Harry Styles, Olivia Wilde",6.2,4,ABD
Ambulans,Ambulance,"Gerilim, Dram, Aksiyon",Michael Bay,03/18/2022,42560,1385973,"Michael Bay, James Vanderbilt, Brad Fischer","Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González",6.1,4,ABD
Cad?lar Bayram? Sona Eriyor,Halloween Ends,Korku,David Gordon Green,10/14/2022,42146,2333760,"Jason Blum, Malek Akkad, Bill Block","Jamie Lee Curtis, Andi Matichak, Kyle Richards",5,4,ABD
Kocaayak ve Ailesi,Bigfoot Family,"Macera, Animasyon, Aile","Ben Stassen, Jeremy Degruson",03/25/2022,42459,1209677,"Ben Stassen, Cal Brunker, Caroline Van Iseghem","Kylian Trouillard, Alexis Victor, Marieve Herington",5.8,18,"Belçika, Fransa"
Hay?r,Nope,Korku,Jordan Peele,08/19/2022,41877,2183390,"Jordan Peele, Ian Cooper","Daniel Kaluuya, Keke Palmer, Steven Yeun",6.9,6,ABD
"Masal Zaman? ""Melez Prenses""",,"Komedi, Aile, Fantastik","Kubilay Güleço?lu, Burak Kahraman",01/21/2022,40555,953119,Korsan Medya,"Lavinya Ünlüer, Kaan Y?lmaz, Ebrar Demirbilek",7.8,3,Türkiye
?eytan Kapan?,Prey for the Devil,"Korku, Gerilim",Daniel Stamm,10/28/2022,40541,2127303,"Earl Richey Jones, Todd R. Jones, Paul Brooks","Jacqueline Byers, Virginia Madsen, Colin Salmon",5.2,4,ABD
Laal Singh Chaddha,,"Komedi, Dram, Sava?",Advait Chandan,08/12/2022,39578,1726403,Aamir Khan; ?Kiran Rao?; Jyoti Deshpande,"Aamir Khan, Kareena Kapoor, Naga Chaitanya Akkineni",5.5,8,Hindistan
Her ?ey Her Yerde Ayn? Anda,Everything Everywhere All at Once,"Macera, Komedi, Bilim-Kurgu, Fantastik, Aksiyon","Dan Kwan, Daniel Scheinert",04/08/2022,39057,1499757,"Daniel Kwan, Daniel Scheinert, Joe Russo","Michelle Yeoh, Jamie Lee Curtis, Stephanie Hsu",8,25,ABD
Üç Bin Y?ll?k Bekleyi?,Three Thousand Years of Longing,"Fantastik, Dram, Romantik",George Miller,09/16/2022,37652,1805014,George Miller; Doug Mitchell,"Tilda Swinton, Idris Elba, Pia Thunderbolt",6.7,4,"ABD, Avustralya"
Evdeki Dü?man: Ba?lang?ç,Orphan: First Kill,"Korku, Gerilim",William Brent Bell,09/09/2022,36740,1923125," Entertainment One, Dark Castle Entertainment","Isabelle Fuhrman, Julia Stiles, Rossif Sutherland",5.9,8,ABD
Komutan,,"Dram, Aksiyon","Selahattin Sancakl?, Mert K?l?ç",10/07/2022,35773,1720239,K?l?ç Yap?m,"Mert K?l?ç, Asl?han Güner, Can K?z?l?tu?",5.5,5,Türkiye
Alem-i Cin 3: Salg?n,,Korku,Gökhan Ar?,08/26/2022,34499,1396754,Matine Film,"Dilara Ilgaz, Bulut Genç, Ulukan A?da?",2.4,5,Türkiye
Kendi Yolumda,,"Komedi, Dram",Ömer Faruk Sorak,11/25/2022,34597,2086622,Athena Yap?m,"Gökhan Özo?uz, Gökçe Bahad?r, Ferit Aktu?",5.9,6,Türkiye
Erzurumlu Mümessil,,Komedi,Servet Aksoy,05/06/2022,33797,849788,Boz Yap?m,"Burak Bozda?, Dila Dan??man, Burcu Binici",6.3,11,Türkiye
Ajan Kedi,,"Macera, Animasyon, Aile","Christoph Lauenstein, Wolfgang Lauenstein",12/16/2022,39020,2348194,"Jan Bonath, Mark Mertens","Alexandra Neldel, Axel Prahl, Santiago Ziesmer",5.5,7,"Almanya, Belçika"
Kan Kokusu,Shark Bait,Gerilim,James Nunn,07/08/2022,32078,1251784,"Andrew Prendergast, Andy Mayson, Nadine Luque","Holly Earl, Jack Trueman, Catherine Hannay",4.4,17,Birle?ik Krall?k
Kabus Gecesi: Dirili?,Jeepers Creepers: Reborn,"Korku, Gerilim",Timo Vuorensola,11/04/2022,31887,1614151,"Michael Ohoven, Jake Seal","Sydney Craven, Imran Adams, Jarreau Benjamin",2.5,11,"ABD, Birle?ik Krall?k, Finlandiya"
Ooops! Sevimli Tayfa,Ooops! The Adventure Continues,Animasyon,"Sean Mccormack, Toby Genkel",08/19/2022,31295,1265816," Emely Christians, Christine Parisse, Moe Honan","Max Carolan, Ava Connolly, Dermot Magennis",5.8,11,"?rlanda, Lüksemburg"
Elif Ana,,Dram,"Semir Aslanyürek, Kaz?m Öz",12/09/2022,42787,2303133,Life Is A Movie,"Aliye Uzunata?an, Hülya Diken, Necmettin Çobano?lu",8.4,11,Türkiye
Davet,The Invitation,"Korku, Gerilim",Jessica M. Thompson,09/02/2022,30885,1528544,"Emile Gladstone, Sam Raimi","Nathalie Emmanuel, Thomas Doherty, Hugh Skinner",5.3,5,ABD
YAKARI,Yakari le film,Animasyon,"Toby Genkel, Xavier Giacometti",06/03/2022,28918,977886,"Caroline Duvochel, Maia Tubiana","Aloïs Agaësse-Mahieu, Arielle Vaubien, Hannah Vaubien",6.3,10,"Belçika, Fransa"
Araf 5: Aile,,Korku,U?ur Kaplan,03/25/2022,28610,785627,"DFGS, Kafa ??ler","Almira Tu?gül Küçüko?lu, ?rem ?pek, Can ?uoruç",6,2,Türkiye
After: Mutluluk,After Ever Happy,"Dram, Romantik",Castille Landon,08/26/2022,28307,1279109,"Jennifer Gibgot, Aron Levitz","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard",4.5,13,ABD
?lgi Manya??,Sick of Myself,Komedi,Kristoffer Borgli,11/04/2022,30495,1522151,"Andrea Berentsen Ottmar, Dyveke Bjørkly Graver","Kristine Kujath Thorp, Eirik Sæther, Fanny Vaager",7.2,15,"?sveç, Norveç"
Sihirbazlar Akademisi,The Academy of Magic,Animasyon,"Jorgen Klubien, Cindy Robinson",07/22/2022,27349,1029180,Allen Tsang,"Laura Stahl, Michael Johnston, Ben Diskin",3.3,15,ABD
H?zl? Ayaklar - Olimpiyat Yolunda,,Animasyon,Ça?r? Cem Bayrakl?,09/30/2022,26804,1217663,Minika,"Çetin Altay, Harun Can",7,12,Türkiye
Kaos Yürüyü?ü,Chaos Walking,"Bilim-Kurgu, Aksiyon",Doug Liman,01/28/2022,26586,758486,"Tom Holland, Daisy Ridley, Demian Bichir","Daisy Ridley, Tom Holland, Mads Mikkelsen",5.7,4,ABD
Soygun Oyunu: Büyük Vurgun,,"Komedi, Polisiye",Ali Do?ançay,02/18/2022,26457,620648,AD Yap?m,"Burak Sevinç, Sercan Badur, Selim Bayraktar",7.3,2,Türkiye
Aynas?z Haluk,,Komedi,Bülent ??bilen,04/29/2022,26269,894023,Han Medya Yap?m,"Tolgahan Say??man, Erdal Özya?c?lar, Alg? Eke",4.5,3,Türkiye
Ay? Karde?ler: Dünya'ya Dönü?,"Xiong chu mo: Chong fan di qiu, Boonie Bears: Back to Earth","Komedi, Animasyon, Aile, 3 Boyutlu",Huida Lin,12/23/2022,43968,2634556,"Ziyan Huang, Tianfu Xu, Zhi Ying","Paul Rudd, Evangeline Lilly",5.9,6,Çin
Samsam,,"Macera, Animasyon, Aile",Tanguy de Kermel,02/18/2022,25551,673868,"Didier Brunner, Damien Brunner, Gaetan David","Jérémy Prevost, Sébastien Desjours, Damien Boisseau",5,10,"Belçika, Fransa"
Drive My Car,Doraibu Mai Kâ,Dram,Ryûsuke Hamaguchi,01/28/2022,25532,678430,Teruhisa Yamamoto,"Hidetoshi Nishijima, Tôko Miura, Reika Kirishima",7.6,20,Japonya
Canavar,Beast,Gerilim,Baltasar Kormakur,09/02/2022,25172,1194458,"Baltasar Kormákur, James Lopez, William Packer","Idris Elba, Sharlto Copley, Leah Jeffries",5.6,4,ABD
Gulliver Dönüyor,Gulliver Returns,"Macera, Animasyon, Aile",Ilya Maksimov,10/14/2022,24896,1307525,"Boris Shefir, Andrey Yakovlev, Oleg Khodachuk","Harun Can, U?ur Ta?demir, Begüm Günceler",4.3,9,Ukrayna
After Ayr?l?k,After We Fell,"Dram, Romantik",Castille Landon,05/20/2022,24720,908692,"Hero Fiennes-Tiffin, Brian Pitt, Courtney Solomon","Josephine Langford, Hero Fiennes Tiffin, Louise Lombard",4.7,11,ABD
Yanl?? Anlama 2,,Komedi,Aykut Ta?k?n,09/30/2022,24592,1150678,"Bahad?r Efe,Duygu Karaca,Hakan Bilgin","Cemal Hünal, Y?lmaz Gruda, M. Fatih Özkan",4.7,4,Türkiye
One Piece Film: Red,,"Macera,Animasyon,Aksiyon",Gorô Taniguchi,11/25/2022,24475,1559363,Eiiçiro Oda,"Mayumi Tanaka, Kazuya Nakai, Akemi Okamura",6.8,3,Japonya
Kaptan Sabertooth ve Minik Korsanlar Kay?p Elmas Pe?inde,Kaptein Sabeltann og den magiske diamant,"Macera,Animasyon","Marit Moum Aune, Rasmus A. Sivertsen", 31.12.2022,23524,339465,Özen film," Kyrre Haugen Sydness,Leonard Valestrand Eike,Jon Øigarden",5.8,21,Norveç
Koloni,"Tides, The Colony","Gerilim, Bilim-Kurgu",Tim Fehlbaum,01/21/2022,23261,627276,"Thomas Wobke,Ruth Waldburger,Philipp Trauer","Nora Arnezeder, Iain Glen, Sarah-Sofie Boussnina",5.4,10,"Almanya, ?sviçre"
Tav?an Okulu: Ç?lg?n Yumurtalar,"Die Häschenschule - Der große Eierklau, Rabbit Academy: Mission Eggpossible","Macera, Komedi, Animasyon",Ute von Münchow-Pohl,09/09/2022,23627,1033984,Dirk Beinhold,"Friedrich Von Thun,Senta Berger,Jule Böwe",5.5,12,Almanya
Süper Yetenek 2,Rock Dog 2,"Macera, Komedi, Animasyon",Mark Baldo,05/19/2022,23216,729509,"Andrew Tight, Ken Katsumoto, Liz Young"," Andrew Francis , Brain Dabson, Sabrina Pitre",5,12,"ABD,Çin"
Cânn,,Korku,Eren Ergin,09/16/2022,21902,939013,Cihangir Yap?m,"Alihan Demirbilek, Sahra Yalç?n, Ekrem Türker",4.9,6,Türkiye
?kiz,The Twin,Korku,Taneli Mustonen,04/29/2022,21891,806327," Aleksi Hyvärinen , Joris van Wijk ","eresa Palmer, Steven Cree, Barbara Marten",5.1,3,Filandiya
Korku Evi,Behind You,Korku,"Matthew Whedon, Andrew Mecham",08/12/2022,21545,902957," Larissa beck, Jesse ranney","Addy Miller, Elizabeth Birkner, Jan Broberg",4.2,6,ABD
Korku Takvimi,,Korku,Yunus ?evik,05/13/2022,21243,691524,Dras Film Pictures,"Nevin Efe, Melisa Seda, Zafer Kora",5.8,9,Türkiye
Kad?n Kral,The Woman King,"Dram, Tarihi",Gina Prince-Bythewood,10/14/2022,20742,1257394,"Viola Davis,Julius Tennon,Cathy Schulman","Viola Davis, John Boyega, Thuso Mbedu",6.8,4,ABD
Cesur Bal?k Sihirli Dünyada,Magic Arch,"Animasyon, 3 Boyutlu",Vasiliy Rovenskiy,05/19/2022,20710,676909," Roman Borisevich,maxim rogalsky, vasiliy rovenskiy"," Stephen Thomas Ochsner,Daniil Medvedev,Liza Klimova",4.2,9,Rusya
Semur 3: K?yamet-i Cin,,Korku,Burak Çelik,06/03/2022,20124,545795,BMS Film,"Gizem Tan, Zülfü Hamit Alt?n, Volkan Ba?aran",4,5,Türkiye
Acil ?ni?,Emergency Declaration,"Gerilim, Dram, Aksiyon, IMAX",Jae-rim Han,11/20/1953,19683,997816,"Han Suk-kyu , Kim Do-soo , Zoo-Young Eum","Lee Byung-hun, Kang-ho Song, Jeon Do-yeon",6.9,6,Güney Kore
Cumali Ceber 666,,Komedi,Fuat Kurto?lu,01/21/2022,19660,468401,2506,"Halil Söyletmez, Do?a Konako?lu, Deniz Deliç",1,2,Türkiye
Gazap,,Korku,Onur Aldo?an,09/23/2022,19533,894721,Cinemoon Film,"Tayfun Turhan, Özgür Konak, Sinan Ta?kan",4,8,Türkiye
Nalan,,Komedi,Fatih Mutlu,01/07/2022,19320,471146,Two Yap?m,"Açelya Topalo?lu, Sergen Deveci, Berna Koraltürk",3.1,3,Türkiye
Kabus Soka??,Nightmare Alley,"Gerilim, Dram, Gizem",Guillermo del Toro,02/04/2022,19267,631741," Guillermo del Toro,miles dale,Bradley Cooper","Bradley Cooper, Rooney Mara, Cate Blanchett",7,4,ABD
?eytan?n Kitab?,,Korku,Okan Ege Ergüven,04/08/2022,19230,562617,"Kar Film, Hezer Film","Engin Yüksel, Rüya Yürüten, Cemre Özgül",4,11,Türkiye
Sadece Bir Gece,,"Romantik-Komedi, Dram",Sinan Biçici, 25.02.2022,18688,569366,Fanatik,"Tuba Ünsal, Cemal Hünal, Gürgen Öz",6.5,2,Türkiye
Afacan Felix,,"Macera, Animasyon, Aile",Nicola Lemay,01/21/2022,18600,439167,Nancy Florence Savard," Gabriel Lessard,Guy Nadon,Marc Labrèche",5.4,17,Kanada
Tepki,Firestarter,"Korku, Gerilim",Keith Thomas,05/13/2022,17778,652415,"Akiva Goldsman,dino de laurentiis company,Jason Blum","Ryan Kiera Armstrong, Zac Efron, Sydney Lemmon",4.6,4,ABD
Yetenekli Bay Cage,The Unbearable Weight of Massive Talent,"Komedi, Suç, Aksiyon",Tom Gormican,04/29/2022,17561,803298,Nicolas Cage Mike Nilon Kristin Burr Kevin Turen,"Nicolas Cage, Pedro Pascal, Tiffany Haddish",7,5,ABD
?kinci Seans: AEEP,,korku,Gökhan Murat Toktam??o?lu,05/27/2022,17462,594247,Hann Yap?m,Güler A??k,3.7,2,Türkiye
Karanl?k Madde,,"Macera, Gerilim",?man Tahsin,06/03/2022,16613,488371,2 Bros Productions,"Ahmet Y?ld?r?m, Nihan A??c?, Orkun Olgar",5.5,2,Türkiye
Ma-?er,,Korku,U?ur Kaplan,08/12/2022,15615,586561,Kafa ??ler,"Hazal Özbal, Ezgi ?rem Mutlu, Do?ukan Oltulu",4.4,3,Türkiye
Vah?i Gece,,"Gerilim, Komedi, Suç, Aksiyon",Tommy Wirkola,12/02/2022,15494,1048567,"David Leitch, Antoine Fuqua, Kelly McCormick","David Harbour, John Leguizamo, Beverly D'Angelo",6.7,3,ABD
A?k Ça??r?rsan Gelir,,Romantik-Komedi,Emre Kavuk,05/06/2022,15478,477371,Projes Film Yap?m,"Keremcem, Melis Babada?, Gürgen Öz",3.8,6,Türkiye
Iss?z Ev,The Rental,Korku,Dave Franco,06/10/2022,15269,560967,Dave Franco,"Alison Brie, Dan Stevens, Sheila Vand",5.7,3,ABD
Vesvese: Cin F?s?lt?s?,,"Korku, Dram",Bülent Aydoslu,07/29/2022,15126,591249,Boyoz Yap?m,"Orhan K?l?ç, Buse Sevindik, Onur Çimen",3.3,2,Türkiye
Periler Ülkesi,Bayala,"Macera, Animasyon, Fantastik, 3 Boyutlu","Aina Järvine, Federico Milella",08/26/2022,14889,651895,Emely Christians,"Cemre Özden Deniz,Gül Tanyolaç,Zencan Sakal",4.8,10,"Almanya, Lüksemburg"
Yudi: Yedikonuk Cinleri,,"Korku, Gerilim","Mert Uzunmehmet, Do?ukan M?s?r",09/30/2022,14797,657038,Apollon Film,"Serkan Çolak, Birgül Uluçay, Barbaros Andiç",2.4,8,Türkiye
Maric,,Korku,Ebru Deliba?,12/23/2022,19477,1067240,Queen Medya,"Bülent Çelik, Duygu Y?ld?r?m, Erdem Deliba?",2.4,4,Türkiye
Dokunma Hurdac?n?n K?z?,,Dram,Hüsnü Hakan Gürtop,09/16/2022,14362,577199,Afri Film,"Abidin Yerebakan, Betül ?ahin, Belma Mamati",3.1,3,Türkiye
Dü? Pe?ine,,"Komedi, Gençlik",?lkay Uygur,01/14/2022,14178,346281,Nays,"Fester Abdü, Cihan ?im?ek, ?eyda Erdo?an",4.3,2,Türkiye
Kahraman,A Hero,"Gerilim, Dram",Asghar Farhadi,01/07/2022,14157,419797,"Hamid Reza Ghorbani, Alexandre Mallet-Guy, Olivier Père","Amir Jadidi, Mohsen Tanabandeh, Fereshteh Sadre Orafaiy",7.5,14,"Fransa, ?ran"
?imdi Yand?k,,Komedi,Onur Aldo?an,06/03/2022,14115,471698,Onn Medya,"Ersin Korkut, Murat Akkoyunlu, ?rfan Kang?",1.9,4,Türkiye
Mihrez 2: Cin Padi?ah?,,Korku,Ahmet Arslan,11/25/2022,14099,720030,BMS Film,"Levent Çak?r, Zülfü Hamit Alt?n, Hande Göktepe",2.5,5,Türkiye
Hüddam'?n Soyu: Marid Cinleri,,"Korku, Gerilim",Mert Uzunmehmet,04/22/2022,14047,431428,Apollon Film,"Mihca K?l?ç, Ye?im Gedik, Tufan Özün",3.7,3,Türkiye
Kara Neme: Gelin Deresi,,"Korku, Gerilim",Kemal Danac?,01/21/2022,13936,322433,Leaf Film Yap?m,"Halil Bal?kç?, Sanaz Zahraei, Kyamran Aliyev",4.4,5,Türkiye
Asmoday: Cin'ür - Racim,,Korku,Rotin Engin Tutu?,07/08/2022,13775,494352,Büyük Galileo,"Emine Söyler, Demet Öz, Esra Er",3.2,4,Türkiye
Koma,The Coma,"Bilim-Kurgu, Aksiyon",Nikita Argunov,08/19/2022,13500,525600," Sarik Andreasyan, Rafael Minasbekyan,","Rinal Mukhametov, Lyubov Aksyonova, Anton Pampushnyy",6.3,9,Rusya
Allah Yazd?ysa Bozsun,,Romantik-Komedi,Bar?? Yö?, 13.05.2022,13373,434917,Lara 1 Film Yap?m,"Gonca Vuslateri, Burak Yamantürk, Öznur Serçeler",4,4,Türkiye
Y?ld?zlar da Kayar,,Komedi,Günay Günayd?n,01/28/2022,13365,320838,Cinephone,"Cem K?l?ç, Ceyda Olguner, Cezmi Bask?n",4.2,2,Türkiye
?ans Tanr?ças?,La dea fortuna,Dram,Ferzan Özpetek,03/25/2022,13312,504370,R & C Produzioni,"Stefano Accorsi, Jasmine Trinca, Edoardo Leo",6.7,7,?talya
Adamlar,Men,"Korku, Bilim-Kurgu, Dram",Alex Garland,06/03/2022,13213,490725,Andrew Macdonald.Allon Reich,"Jessie Buckley, Rory Kinnear, Gayle Rankin",6.1,6,Birle?ik Krall?k
Nuh'un Gemisi Cudi'de 2,,Komedi,Gürsel Ate?,04/22/2022,13198,295652,Üsküdar Yap?m,"Metin Y?ld?z, Bülent Durgun, Charles Carroll",1,6,Türkiye
Ç?k?? Yok,Black Site,"Gerilim, Aksiyon",Sophia Banks,07/22/2022,13137,558909,"Todd Fellman, Mike Gabrawy, Basil Iwanyk","Michelle Monaghan, Jason Clarke, Jai Courtney",4.4,2,ABD
Gizli Gerçek,Run,"Gerilim, Gizem",Aneesh Chaganty,02/25/2022,12993,414300,Natalie Qasabian Sev Ohanian,"Sarah Paulson, Kiera Allen, Sara Sohn",6.7,2,ABD
Vesper,Vesper,"Macera, Bilim-Kurgu","Kristina Buozyte, Bruno Samper",09/30/2022,12856,704327,Bruno Samper,"Raffiella Chapman, Eddie Marsan, Rosy McEwen",6,3,"Belçika, Fransa, Litvanya"
Mühr-ü Musallat - Perihan,,Korku,Metin Kuru,06/17/2022,12848,423191,Mutluluk Fabrikas?,"Sena Y?ld?z, Ercan Özdal, Selahattin Ta?dö?en",4.8,3,Türkiye
Sindirella ve Sevimli Arkada?lar?,Ella and the Little Sorcerer,Animasyon,Alice Blehart,09/23/2022,12979,645922,"Allen Tsang, Adam Chiu","Geri Courtney-Austein, Tony Azzolino, Ashley Bornancin",4.4,12,ABD
Yalanc? ?ahit,, Komedi,Bilal Kalyoncu,09/02/2022,12421,510790,2506,"?nan Ula? Torun, Alg? Eke, Onur Sermik",0,5,Türkiye
Zalo,, Komedi,Necati Aslan,04/15/2022,12395,374169,AFR MEDYA,"Sermiyan Midyat, K?vanç Baran Arslan, Tu?çe Topçu",3.8,3,Türkiye
Katil Kim?,Bodies Bodies Bodies,"Korku, Gerilim, Komedi",Halina Reijn,10/28/2022,12360,703520,David Hinojosa; Ali Herting,"Amandla Stenberg, Maria Bakalova, Rachel Sennott",6.3,3,ABD
?öhretler Okulu,,"Komedi, Aile",Adnan Önal,01/21/2022,12322,290385,CNS Prodüksiyon,"Ediz Hun, Berna Üçkaleler, Nisa Sofiya Aksongur",4.7,18,Türkiye
Babil-i Cin,,Korku,Ahmet Ya?ar Gümü?,07/15/2022,12287,458231,Mert Yap?m Medya,"Tu?ba Duygu, Ersin Özkan, Gülfem E?ilmez",4.5,2,Türkiye
?eytani,Demonic,Korku,Neill Blomkamp,05/20/2022,12195,445116,"James Wan, Lee Clay","Carly Pope, Nathalie Boltt, Chris William Martin",4.3,3,Kanada
Troll: Kuyruklu Macera,Troll: The Tale of a Tail,Animasyon,"Kevin Munroe, Kristian Kamp",04/15/2022,12104,409689,"Kevin Munroe, Kristian Kamp","Sonja Ball, Wyatt Bowen, Mark Camacho",5.1,9,Norveç
?err-i Cin,,Korku,Bülent Aydoslu,06/10/2022,12072,388023,Boyoz Yap?m,"Bü?ra Pekin, Ayberk Pekcan, Nursel Köse",6.4,3,Türkiye
Tanah,,"Korku, Gerilim",Mert Can Kesim,07/22/2022,12058,461976,48Kare,"Ömersan Yemi?çio?lu, Asi Güner, Almina Kahraman",4.8,3,Türkiye
Kasa: Büyük Soygun,Way Down,"Gerilim, Aksiyon",Jaume Balagueró, 25.02.2022,11962,427104,"Eneko Lizarraga,Francisco Sanchez Ortiz,Freddie Highmore","Freddie Highmore, Astrid Bergès-Frisbey, Sam Riley",6.4,3,?spanya
Ah Be Birader,,"Komedi, Aksiyon",Ahmet Kapucu, 09.09.2022,11772,485278,"2518 Film Yap?m, Dentsu Turkey","Ufuk Özkan, An?l ?lter, Serkan Kuru",7,2,Türkiye
Son Ç?kmaz,Wrong Place,"Gerilim, Aksiyon",Mike Burns,08/26/2022,11315,498132,"George Furla,Randall Emmett,Chad A. Verdi","Bruce Willis, Ashley Greene, Michael Sirow",3.7,3,ABD
Vortex,Vortex,Dram,Gaspar Noé,05/13/2022,11275,342229,"Vincent Maraval,Edouard Weil,Brahim Chioua","Dario Argento, Françoise Lebrun, Alex Lutz",7.4,13,"Belçika, Fransa"
Tehlikeli Oyun,Poker Face,"Gerilim, Suç, Aksiyon",Russell Crowe,11/25/2022,11275,342229,"AAddam Bramich,Keith Rodger,Jeanette Volturno","Russell Crowe, Elsa Pataky, Liam Hemsworth",5.1,5,ABD
Afarid,,Korku,Umut Kumral Devecio?lu,08/05/2022,10482,413135,Apah Yap?m,"Serbay Çelikba?, Hilal Yaz?c?, R?dvan Arslan",5.3,3,Türkiye
Decibel,,"Korku, Dram, Aksiyon",In-ho Hwang,12/02/2022,10412,648480,"Kim Yong-sun, Cho Yoon-mi","Rae-won Kim, Lee Jong-Suk, Cha Eun-Woo",6.2,3,Güney Kore
Senkronik,Synchronic,"Korku, Bilim-Kurgu, Dram","Justin Benson, Aaron Moorhead",06/17/2022,10398,442656,"Justin Benson,Michael Mendelsohn","Jamie Dornan, Anthony Mackie, Katie Aselton",6.2,3,ABD
Hüzün Üçgeni,Triangle of Sadness,"Komedi, Dram",Ruben Östlund,06/17/2022,10398,442656,"Erik Hemmendorff,Philippe Bober","Charlbi Dean, Harris Dickinson, Woody Harrelson",7.4,7,"Almanya, Birle?ik Krall?k, Fransa, ?sviçre"
Buluttaki Gölge,Shadow in the Cloud,"Korku, Sava?, Aksiyon",Roseanne Liang,07/29/2022,10184,458580,"Kelly Mccormick,Fred Berger,Fred Berger","Chloe Grace Moretz, Nick Robinson, Beulah Koale",5,4,"ABD, Yeni Zelanda"
Kemikler ve Her ?ey,Bones and All,"Korku, Dram",Luca Guadagnino,11/25/2022,10132,653404,"Luca Guadagnino,Theresa Park,Marco Morabito","Taylor Russell, Timothée Chalamet, Mark Rylance",6.9,4,"ABD, ?talya"
Her ?ey Dahil,,Komedi,Hakan Eser, 9.12.2022,9988,679630,Sacro Film,"Gürgen Öz, Gonca Vuslateri, Hakan Bilgin",2.2,2,Türkiye
Geçmi?e Dönü?,Memory,"Gerilim, Aksiyon",Martin Campbell, 17.06.2022,9966,380869,"Bob Gale,Neil Canton","Liam Neeson, Monica Bellucci, Guy Pearce",5.7,3,ABD
Kö?k-ü Ammar,,Korku,Osman Moustafa, 10.06.2022,9628,332316,Lotus Film,"Zafer Altun, Seçkin Zenginler, Burçak Kabaday?",4.4,4,Türkiye
"A?k, Mark ve Ölüm","Love, Deutschmarks and Death",Belgesel,Cem Kaya, 23.09.2022,9839,437495,Florian Schewe,"Aykut ?ahin,Orhan Amuroglu,Aytaç Kiran",8.4,14,Almanya
Mahluk,,Korku,Ozan Ceylan, 8.04.2022,9472,234179,Bircan Film,"Burak Küçük, Ogan ?enyolcu, Mustafa Kavalc?",4.8,5,Türkiye
Alabora?k,,"A?k, Dram",Ali Can Gebe?,09/30/2022,9449,472662,Emperor Film,"Cemal Hünal, Belçim Bilgin, Erkan Can",4.8,5,Türkiye
Kya'n?n ?ark? Söyledi?i Yer,Where the Crawdads Sing,Dram,Olivia Newman,09/09/2022,9384,467919,"Reese Witherspoon,Lauren Neustadter","Daisy Edgar-Jones, Harris Dickinson, David Strathairn",7.2,3,ABD
